data:text/csv;charset=utf-8,Query: TIEMPOS SELECT OH.ORDER_NO,yors.ORDER_HEADER_KEY,yors.STATUS,yors.STATUS_DATE,yors.CREATEUSERID,yors.MODIFYUSERID,ysl.SHIPMENT_KEY,ys.scac,ys.SHIPNODE_KEY,ys.ASSIGNED_TO_USER_ID from yfs_order_release_status yors, yfs_order_header OH,yfs_shipment_line ysl,yfs_shipment ys where oh.ORDER_HEADER_KEY=yors.ORDER_HEADER_KEY AND oh.order_header_key=ysl.order_header_key and ysl.SHIPMENT_KEY=ys.shipment_key and yors.status in ('1400','3350.1000','3350.1500','3700.1000','3700.2000','3350.1500.1000','3700.01','3700.02','9000','3350.3000','3700.3000') and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,STATUS,STATUS_DATE,CREATEUSERID,MODIFYUSERID,SHIPMENT_KEY,SCAC,SHIPNODE_KEY,ASSIGNED_TO_USER_ID,
1,CO11406179,'202301010003382700887580,1400,2023-01-01 00:05:59.0,acosta.ismael_m,acosta.ismael_m,'202301010004592700890202,MU,COCV_549,acosta.ismael_m,
2,CO11406179,'202301010003382700887580,1400,2023-01-01 00:05:59.0,acosta.ismael_m,acosta.ismael_m,'202301010006572700890924,MU,COCV_101,quintero.dayan_m,
3,CO11406179,'202301010003382700887580,3350.1000,2023-01-01 00:05:00.0,DifarmaConsolidateToShipmentAgentServer,acosta.ismael_m,'202301010004592700890202,MU,COCV_549,acosta.ismael_m,
4,CO11406179,'202301010003382700887580,3350.1000,2023-01-01 00:05:00.0,DifarmaConsolidateToShipmentAgentServer,acosta.ismael_m,'202301010006572700890924,MU,COCV_101,quintero.dayan_m,
5,CO11406179,'202301010003382700887580,3350.1000,2023-01-01 00:06:57.0,DifarmaConsolidateToShipmentAgentServer,quintero.dayan_m,'202301010004592700890202,MU,COCV_549,acosta.ismael_m,
6,CO11406179,'202301010003382700887580,3350.1000,2023-01-01 00:06:57.0,DifarmaConsolidateToShipmentAgentServer,quintero.dayan_m,'202301010006572700890924,MU,COCV_101,quintero.dayan_m,
7,CO11406179,'202301010003382700887580,3350.1500,2023-01-01 00:08:24.0,quintero.dayan_m,quintero.dayan_m,'202301010004592700890202,MU,COCV_549,acosta.ismael_m,
8,CO11406179,'202301010003382700887580,3350.1500,2023-01-01 00:08:24.0,quintero.dayan_m,quintero.dayan_m,'202301010006572700890924,MU,COCV_101,quintero.dayan_m,
9,CO11406179,'202301010003382700887580,3350.1500.1000,2023-01-01 00:08:24.0,quintero.dayan_m,quintero.dayan_m,'202301010004592700890202,MU,COCV_549,acosta.ismael_m,
10,CO11406179,'202301010003382700887580,3350.1500.1000,2023-01-01 00:08:24.0,quintero.dayan_m,quintero.dayan_m,'202301010006572700890924,MU,COCV_101,quintero.dayan_m,
